City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
207,Tautira,PF,2022-02-11 18:09:40,-17.7333,-149.15,84.22,75,24,16.35
208,Qasigiannguit,GL,2022-02-11 18:06:14,68.8193,-51.1922,21.45,78,100,6.4
209,Cabo San Lucas,MX,2022-02-11 18:09:41,22.8909,-109.9124,76.6,50,0,9.22
210,Balabac,PH,2022-02-11 18:09:41,7.9868,117.0645,80.8,82,96,15.17
211,Arraial Do Cabo,BR,2022-02-11 18:09:41,-22.9661,-42.0278,76.86,83,75,3.44
212,Fallon,US,2022-02-11 18:09:42,39.4735,-118.7774,55.92,52,0,0.0
213,Grand-Lahou,CI,2022-02-11 18:09:42,5.1367,-5.0242,82.36,77,17,9.35
214,Iqaluit,CA,2022-02-11 18:09:42,63.7506,-68.5145,-0.31,77,100,0.0
215,Souillac,MU,2022-02-11 18:09:42,-20.5167,57.5167,79.18,83,20,1.14
216,Sakhnovshchyna,UA,2022-02-11 18:09:43,49.1517,35.872,34.59,97,97,6.96
217,Vanavara,RU,2022-02-11 18:09:43,60.34,102.2797,-22.72,100,30,1.07
218,Cherskiy,RU,2022-02-11 18:09:43,68.75,161.3,-37.17,100,71,6.08
219,Sembe,CG,2022-02-11 18:09:44,1.6481,14.5806,82.18,24,43,2.66
220,Airai,TL,2022-02-11 18:09:44,-8.9266,125.4092,60.96,94,98,0.58
221,Lavrentiya,RU,2022-02-11 18:09:44,65.5833,-171.0,-26.7,94,32,6.53
222,Stornoway,GB,2022-02-11 18:09:45,58.2093,-6.3865,42.93,83,75,35.68
223,Praia Da Vitoria,PT,2022-02-11 18:09:45,38.7333,-27.0667,61.75,77,63,6.17
224,Zhanaozen,KZ,2022-02-11 18:09:45,43.3,52.8,37.47,69,100,9.1
225,Umm Lajj,SA,2022-02-11 18:09:46,25.0213,37.2685,67.03,49,0,18.61
226,College,US,2022-02-11 18:09:46,64.8569,-147.8028,-1.77,75,100,8.05
227,Saint-Pierre,RE,2022-02-11 18:09:46,-21.3393,55.4781,78.48,78,0,3.44
228,Madimba,TZ,2022-02-11 18:10:46,-10.4,40.3333,77.43,86,100,0.78
229,Sitka,US,2022-02-11 18:10:47,57.0531,-135.33,39.09,81,100,10.36
230,Dudinka,RU,2022-02-11 18:10:47,69.4058,86.1778,-8.14,86,99,16.75
231,Brusyliv,UA,2022-02-11 18:10:47,50.2845,29.5263,39.22,94,100,1.1
232,Beba,CU,2022-02-11 18:10:48,22.4437,-79.7253,80.87,60,74,9.71
233,Faanui,PF,2022-02-11 18:10:48,-16.4833,-151.75,80.62,75,27,13.38
234,Saskylakh,RU,2022-02-11 18:10:48,71.9167,114.0833,2.19,90,98,12.3
235,Nanortalik,GL,2022-02-11 18:10:49,60.1432,-45.2371,30.61,80,100,4.36
236,Victoria,HK,2022-02-11 18:07:09,22.2855,114.1577,68.95,89,42,1.01
237,Chokurdakh,RU,2022-02-11 18:10:49,70.6333,147.9167,-6.72,97,100,12.17
238,Balakhta,RU,2022-02-11 18:10:49,55.38,91.6,-21.71,100,35,1.28
239,Abha,SA,2022-02-11 18:10:50,18.2164,42.5053,57.45,77,0,11.5
240,Qeshm,IR,2022-02-11 18:10:50,26.9581,56.2719,66.07,58,0,7.29
241,Moose Factory,CA,2022-02-11 18:10:50,51.2585,-80.6094,1.38,78,100,13.8
242,Sept-Iles,CA,2022-02-11 18:10:51,50.2001,-66.3821,18.05,64,16,4.0
243,Upernavik,GL,2022-02-11 18:10:51,72.7868,-56.1549,-15.84,80,100,14.34
244,Gusinoye Ozero,RU,2022-02-11 18:10:51,51.1144,106.2614,-18.06,97,58,2.21
245,Vokhtoga,RU,2022-02-11 18:10:52,58.8147,41.0461,28.15,91,96,7.83
246,Namibe,AO,2022-02-11 18:10:52,-15.1961,12.1522,76.39,80,66,7.2
247,Trairi,BR,2022-02-11 18:10:52,-3.2778,-39.2689,84.92,65,13,11.36
248,Awbari,LY,2022-02-11 18:10:53,26.5921,12.7805,54.72,31,0,8.21
249,Aripuana,BR,2022-02-11 18:10:53,-9.1667,-60.6333,79.23,91,100,3.11
250,Huarmey,PE,2022-02-11 18:10:53,-10.0681,-78.1522,76.44,70,57,12.17
251,Leningradskiy,RU,2022-02-11 18:10:53,69.3833,178.4167,-18.17,97,99,4.65
252,Yangshan,CN,2022-02-11 18:10:54,28.7615,115.0287,40.12,97,100,0.6
253,Broome,US,2022-02-11 18:10:54,42.2506,-75.833,50.16,45,0,13.8
254,Capreol,CA,2022-02-11 18:10:54,46.706,-80.9225,31.55,92,100,13.8
255,Lewistown,US,2022-02-11 18:10:55,40.5992,-77.5714,56.8,70,0,0.0
256,Paamiut,GL,2022-02-11 18:10:55,61.994,-49.6678,30.87,85,100,18.48
257,Basco,PH,2022-02-11 18:10:55,20.4487,121.9702,75.97,78,47,18.61
258,Port Elizabeth,ZA,2022-02-11 18:06:39,-33.918,25.5701,67.66,78,0,2.86
259,Bayan,CN,2022-02-11 18:10:56,46.0833,127.4,4.66,96,100,9.55
260,Mezen,RU,2022-02-11 18:10:56,65.8522,44.24,19.08,96,100,5.84
261,Mo I Rana,NO,2022-02-11 18:10:56,66.3128,14.1428,23.47,93,75,3.44
262,Cabedelo,BR,2022-02-11 18:10:49,-6.9811,-34.8339,88.47,63,59,11.34
263,Vydrino,RU,2022-02-11 18:10:57,51.485,104.8461,-7.91,94,70,4.32
264,Dondo,MZ,2022-02-11 18:10:57,-19.6094,34.7431,80.11,79,8,6.4
265,Broken Hill,AU,2022-02-11 18:10:57,-31.95,141.4333,65.26,39,0,14.72
266,Ust-Kan,RU,2022-02-11 18:10:58,50.9276,84.761,-14.42,92,12,3.76
267,Mackay,AU,2022-02-11 18:10:58,-21.15,149.2,70.68,72,8,7.2
268,Bayanday,RU,2022-02-11 18:10:58,53.0661,105.5139,-29.9,100,41,3.44
269,Holt,US,2022-02-11 18:10:58,42.6406,-84.5153,37.6,92,100,17.27
270,Nalobikha,RU,2022-02-11 18:10:59,53.2006,84.6039,-15.21,100,44,4.23
271,Vaxjo,SE,2022-02-11 18:10:59,56.8777,14.8091,30.79,58,1,4.61
272,Elizabeth City,US,2022-02-11 18:09:33,36.2946,-76.2511,67.05,30,0,9.22
273,Santa Rosa,PH,2022-02-11 18:11:00,14.3122,121.1114,78.12,75,71,9.55
274,Sokolo,ML,2022-02-11 18:11:00,14.7328,-6.1219,83.68,9,0,10.33
275,Hamilton,US,2022-02-11 18:11:00,39.1834,-84.5333,56.41,48,100,13.8
276,Atambua,ID,2022-02-11 18:12:00,-9.1061,124.8925,73.33,92,100,3.38
277,Almaznyy,RU,2022-02-11 18:12:01,48.0448,40.045,39.34,92,86,18.23
278,Samarai,PG,2022-02-11 18:12:01,-10.6167,150.6667,80.98,64,88,14.65
279,San Bartolome De Tirajana,ES,2022-02-11 18:12:01,27.9248,-15.5733,63.07,58,0,8.05
280,Ixtapa,MX,2022-02-11 18:07:42,20.7,-105.2,76.23,41,0,4.61
281,Carutapera,BR,2022-02-11 18:12:02,-1.195,-46.02,84.79,65,64,7.81
282,Srednekolymsk,RU,2022-02-11 18:12:02,67.45,153.6833,-38.11,100,37,5.48
283,Madison Heights,US,2022-02-11 18:12:02,42.4859,-83.1052,39.2,89,100,14.97
284,Merauke,ID,2022-02-11 18:12:03,-8.4667,140.3333,75.7,88,49,1.86
285,Palu,ID,2022-02-11 18:12:03,-0.8917,119.8707,75.72,97,100,0.72
286,Keetmanshoop,NA,2022-02-11 18:12:03,-26.5833,18.1333,86.92,33,86,6.53
287,Idanre,NG,2022-02-11 18:12:04,7.1127,5.1159,84.58,33,16,3.94
288,Zhangye,CN,2022-02-11 18:12:04,38.9342,100.4517,23.68,68,97,8.61
289,Sudak,UA,2022-02-11 18:12:04,44.85,34.9667,42.94,78,9,13.24
290,Inayawan,PH,2022-02-11 18:12:05,10.2714,123.8612,76.62,91,93,5.14
291,Katsuura,JP,2022-02-11 18:12:05,35.1333,140.3,39.31,70,18,13.4
